iter	Passed	Remaining
477	1565	1709
478	1566	1704
479	1567	1698
480	1569	1693
481	1570	1687
482	1571	1681
483	1572	1676
484	1573	1670
485	1574	1664
486	1574	1658
487	1575	1653
488	1576	1647
489	1577	1641
490	1578	1636
491	1579	1630
492	1608	1654
493	1610	1649
494	1612	1644
495	1614	1640
496	1615	1635
497	1616	1629
498	1619	1625
499	1621	1621
500	1624	1617
501	1626	1613
502	1630	1611
503	1662	1635
504	1664	1631
505	1665	1625
506	1667	1621
507	1668	1615
508	1669	1610
509	1696	1629
510	1697	1624
511	1698	1619
512	1700	1614
513	1702	1610
514	1705	1605
515	1706	1600
516	1708	1596
517	1715	1595
518	1717	1592
519	1721	1588
520	1723	1585
521	1753	1605
522	1754	1600
523	1756	1595
524	1758	1590
525	1759	1585
526	1772	1591
527	1774	1585
528	1775	1581
529	1776	1575
530	1778	1570
531	1779	1565
532	1780	1560
533	1782	1555
534	1784	1551
535	1786	1546
536	1787	1541
537	1803	1548
538	1805	1543
539	1805	1538
540	1806	1532
541	1822	1540
542	1823	1534
543	1824	1529
544	1826	1524
545	1827	1519
546	1828	1514
547	1830	1509
548	1865	1532
549	1866	1527
550	1867	1522
551	1869	1517
552	1916	1549
553	1917	1544
554	1919	1538
555	1920	1533
556	1925	1531
557	1944	1540
558	1945	1534
559	1964	1543
560	1965	1538
561	1966	1532
562	1994	1548
563	1996	1543
564	1997	1538
565	1999	1533
566	2001	1528
567	2002	1523
568	2004	1518
569	2023	1526
570	2030	1525
571	2031	1520
572	2033	1515
573	2034	1510
574	2036	1505
575	2038	1500
576	2039	1495
577	2041	1490
578	2044	1486
579	2047	1482
580	2049	1478
581	2086	1498
582	2088	1493
583	2089	1488
584	2091	1483
585	2092	1478
586	2093	1473
587	2095	1468
588	2119	1478
589	2134	1483
590	2135	1478
591	2137	1473
592	2139	1468
593	2141	1463
594	2142	1458
595	2143	1453
596	2144	1447
597	2145	1442
598	2146	1436
599	2147	1431
600	2149	1427
601	2160	1428
602	2161	1422
603	2162	1418
604	2164	1413
605	2166	1408
606	2210	1431
607	2213	1427
608	2215	1422
609	2217	1417
610	2228	1419
611	2229	1413
612	2255	1424
613	2257	1419
614	2259	1414
615	2261	1409
616	2262	1404
617	2264	1399
618	2280	1403
619	2281	1398
620	2282	1393
621	2283	1387
622	2284	1382
623	2286	1377
624	2288	1373
625	2290	1368
626	2292	1363
627	2294	1359
628	2296	1354
629	2297	1349
630	2298	1344
631	2318	1350
632	2331	1351
633	2334	1347
634	2347	1349
635	2348	1344
636	2372	1352
637	2374	1347
638	2376	1342
639	2378	1337
640	2380	1333
641	2431	1355
642	2432	1350
643	2433	1345
644	2434	1339
645	2435	1334
646	2437	1329
647	2438	1324
648	2457	1329
649	2459	1324
650	2460	1319
651	2462	1314
652	2464	1309
653	2466	1305
654	2469	1300
655	2471	1296
656	2475	1292
657	2477	1287
658	2489	1288
659	2491	1283
660	2493	1278
661	2495	1273
662	2496	1268
663	2498	1264
664	2500	1259
665	2501	1254
666	2503	1249
667	2507	1246
668	2511	1242
669	2515	1239
670	2518	1234
671	2521	1230
672	2526	1227
673	2530	1224
674	2532	1219
675	2534	1214
676	2537	1210
677	2538	1205
678	2553	1206
679	2554	1201
680	2555	1196
681	2578	1202
682	2580	1197
683	2582	1192
684	2583	1188
685	2585	1183
686	2586	1178
687	2587	1173
688	2620	1182
689	2621	1177
690	2622	1172
691	2623	1167
692	2624	1162
693	2625	1157
694	2626	1152
695	2627	1147
696	2664	1158
697	2666	1153
698	2667	1148
699	2669	1143
700	2693	1148
701	2694	1143
702	2695	1138
703	2696	1133
704	2697	1128
705	2698	1123
706	2699	1118
707	2700	1113
708	2701	1108
709	2702	1103
710	2715	1103
711	2716	1098
712	2717	1093
713	2718	1088
714	2719	1083
715	2720	1079
716	2721	1074
717	2723	1069
718	2725	1065
719	2727	1060
720	2731	1056
721	2733	1052
722	2734	1047
723	2772	1056
724	2779	1054
725	2804	1058
726	2806	1054
727	2808	1049
728	2810	1044
729	2811	1039
730	2812	1034
731	2813	1029
732	2815	1025
733	2816	1020
734	2818	1016
735	2820	1011
736	2822	1007
737	2839	1008
738	2841	1003
739	2877	1010
740	2879	1006
741	2880	1001
742	2904	1004
743	2906	1000
744	2908	995
745	2909	990
746	2930	992
747	2948	993
748	2950	988
749	2952	984
750	2954	979
751	2955	974
752	2957	970
753	2999	978
754	3000	973
755	3002	969
756	3003	964
757	3005	959
758	3007	954
759	3026	955
760	3027	950
761	3028	945
762	3029	940
763	3030	936
764	3050	937
765	3052	932
766	3054	927
767	3055	923
768	3057	918
769	3059	913
770	3061	909
771	3077	908
772	3078	903
773	3079	899
774	3080	894
775	3081	889
776	3082	884
777	3083	879
778	3101	879
779	3102	875
780	3103	870
781	3106	866
782	3108	861
783	3109	856
784	3111	852
785	3114	847
786	3143	850
787	3144	846
788	3146	841
789	3147	836
790	3148	831
791	3150	827
792	3152	822
793	3154	818
794	3156	814
795	3157	809
796	3158	804
797	3160	800
798	3162	795
799	3163	790
800	3165	786
801	3167	781
802	3169	777
803	3172	773
804	3174	768
805	3175	764
806	3196	764
807	3198	760
808	3199	755
809	3222	755
810	3223	751
811	3225	746
812	3227	742
813	3228	737
814	3253	738
815	3255	734
816	3256	729
817	3259	725
818	3261	720
819	3263	716
820	3265	712
821	3270	708
822	3287	707
823	3289	702
824	3294	698
825	3317	698
826	3318	694
827	3320	689
828	3322	685
829	3326	681
830	3329	677
831	3349	676
832	3351	671
833	3353	667
834	3355	663
835	3359	658
836	3361	654
837	3377	652
838	3378	648
839	3381	644
840	3394	641
841	3395	637
842	3397	632
843	3434	634
844	3435	630
845	3437	625
846	3439	621
847	3477	623
848	3478	618
849	3480	614
850	3498	612
851	3499	607
852	3501	603
853	3502	598
854	3527	598
855	3528	593
856	3544	591
857	3546	586
858	3547	582
859	3559	579
860	3560	574
861	3562	570
862	3563	565
863	3565	561
864	3568	556
865	3570	552
866	3571	547
867	3573	543
868	3574	538
869	3575	534
870	3576	529
871	3578	525
872	3615	525
873	3617	521
874	3618	516
875	3619	512
876	3641	510
877	3642	506
878	3644	501
879	3645	497
880	3646	492
881	3663	490
882	3678	487
883	3695	484
884	3704	481
885	3706	476
886	3727	474
887	3728	470
888	3736	466
889	3739	462
890	3745	458
891	3746	453
892	3747	449
893	3748	444
894	3749	439
895	3751	435
896	3752	430
897	3753	426
898	3754	421
899	3756	417
900	3757	412
901	3759	408
902	3760	403
903	3761	399
904	3781	396
905	3783	392
906	3786	388
907	3788	383
908	3792	379
909	3809	376
910	3811	372
911	3815	368
912	3829	364
913	3831	360
914	3833	356
915	3835	351
916	3836	347
917	3839	342
918	3844	338
919	3848	334
920	3851	330
921	3855	326
922	3857	321
923	3859	317
924	3861	313
925	3863	308
926	3865	304
927	3866	299
928	3868	295
929	3872	291
930	3878	287
931	3883	283
932	3886	279
933	3888	274
934	3890	270
935	3895	266
936	3897	262
937	3898	257
938	3900	253
939	3902	249
940	3905	244
941	3909	240
942	3914	236
943	3916	232
944	3920	228
945	3926	224
946	3927	219
947	3928	215
948	3929	211
949	3931	206
950	3932	202
951	3946	198
952	3947	194
953	3948	190
954	3949	186
955	3951	181
956	3953	177
957	3969	174
958	3971	169
959	3973	165
960	3976	161
961	3979	157
962	3983	153
963	3987	148
964	3991	144
965	3994	140
966	3995	136
967	4016	132
968	4017	128
969	4043	125
970	4044	120
971	4046	116
972	4048	112
973	4049	108
974	4083	104
975	4084	100
976	4085	96
977	4087	91
978	4088	87
979	4111	83
980	4112	79
981	4114	75
982	4115	71
983	4129	67
984	4130	62
985	4131	58
986	4148	54
987	4150	50
988	4153	46
989	4156	41
990	4180	37
991	4182	33
992	4193	29
993	4194	25
994	4196	21
995	4197	16
996	4198	12
997	4200	8
998	4202	4
999	4203	0
